"Job Titles" Department "Annual Salary"
"ASST CORPORATION COUNSEL II" LAW 62940
"SUPERVISING TIMEKEEPER - LABORER" TRANSPORTN 66900
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 94122
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 84054
"CHIEF CONTRACT EXPEDITER" TRANSPORTN 66240
"COORD OF MAINTENANCE REPAIRS" HEALTH 54636
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 90024
"TRAFFIC CONTROL AIDE" OEMC 64392
"SUPERVISING POLICE COMMUNICATIONS OPERATOR" OEMC 99024
"PARKING ENFORCEMENT AIDE" FINANCE 53496
"POLICE OFFICER" POLICE 80016
"POLICE OFFICER" POLICE 93354
"TRAFFIC CONTROL AIDE" OEMC 39924
FIREFIGHTER-EMT FIRE 84870
"ADMINISTRATIVE ASST III" "WATER MGMNT" 73440
"POLICE OFFICER" POLICE 76266
"POLICE OFFICER" POLICE 93354
"POLICE COMMUNICATIONS OPERATOR I" OEMC 50412
LIEUTENANT-EMT FIRE 117996
"POLICE OFFICER" POLICE 72510
FIREFIGHTER-EMT FIRE 92274
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 72510
"AVIATION SECURITY OFFICER" AVIATION 73992
"POLICE OFFICER" POLICE 84054
FIREFIGHTER-EMT FIRE 84870
"FIREFIGHTER-EMT (RECRUIT)" FIRE 72510
PARAMEDIC FIRE 76266
"POLICE OFFICER" POLICE 76266
FIREFIGHTER-EMT FIRE 84870
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 96060
"POLICE OFFICER" POLICE 76266
"PARKING ENFORCEMENT AIDE" FINANCE 53496
"PROJECTS ADMINISTRATOR" AVIATION 84996
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 72510
"POLICE OFFICER" POLICE 48078
INVESTIGATOR-COPA COPA 97056
"ASST CORPORATION COUNSEL III" LAW 65928
"FIREFIGHTER-EMT (RECRUIT)" FIRE 68616
"SENIOR PERFORMANCE ANALYST" "INSPECTOR GEN" 76536
"PARAMEDIC I/C" FIRE 82614
"MGR OF EMERGENCY MANAGEMENT SERVICES" AVIATION 76716
"WARD SUPERINTENDENT" "STREETS & SAN" 84168
"POLICE OFFICER" POLICE 76266
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 100980
"ASST TO THE ALDERMAN" "CITY COUNCIL" 81480
SERGEANT POLICE 111474
PARAMEDIC FIRE 56304
"ASST CORPORATION COUNSEL I" LAW 62940
"POLICE OFFICER" POLICE 76266
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 76266
"POLICE COMMUNICATIONS OPERATOR II" OEMC 67464
"POLICE COMMUNICATIONS OPERATOR II" OEMC 73992
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 72510
"POLICE OFFICER" POLICE 84054
"MANAGING DEPUTY COMMISSIONER" AVIATION 175728
"POLICE COMMUNICATIONS OPERATOR I" OEMC 50412
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 72510
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 84054
"WATER CHEMIST II" "WATER MGMNT" 59436
"ENGINEERING TECHNICIAN V" "WATER MGMNT" 101592
"TRAFFIC CONTROL AIDE" OEMC 64392
"POLICE OFFICER" POLICE 48078
FIREFIGHTER-EMT FIRE 80868
"AVIATION SECURITY OFFICER" AVIATION 85056
FIREFIGHTER-EMT FIRE 84870
"LIBRARIAN III" "PUBLIC LIBRARY" 92388
"SENIOR DATA ENTRY OPERATOR" POLICE 63876
"PARALEGAL II" LAW 80568
"POLICE COMMUNICATIONS OPERATOR I" OEMC 85056
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 90024
LIEUTENANT-EMT FIRE 117996
"POLICE OFFICER / FLD TRNG OFFICER" POLICE 88296
"FIREFIGHTER-EMT (RECRUIT)" FIRE 72510
"POLICE COMMUNICATIONS OPERATOR II" OEMC 85056
"POLICE OFFICER" POLICE 80016
PARAMEDIC FIRE 56304
"POLICE OFFICER" POLICE 96060
FIREFIGHTER/PARAMEDIC FIRE 91272
"POLICE COMMUNICATIONS OPERATOR I" OEMC 50412
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 48078
FIREFIGHTER-EMT FIRE 80868
"COMMUNICATIONS OPERATOR I - 311" OEMC 60972
"POLICE OFFICER" POLICE 72510
"EPIDEMIOLOGIST III" HEALTH 113868
"ADMINISTRATIVE ASST II" "BUSINESS AFFAIRS" 58248
"POLICE OFFICER" POLICE 68616
"ACCOUNTANT IV" FINANCE 72264
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 72510
"POLICE OFFICER" POLICE 76266
"SUPVSR OF ACCOUNTING" "FAMILY & SUPPORT" 83484
"POLICE COMMUNICATIONS OPERATOR I" OEMC 67464
"POLICE OFFICER" POLICE 76266
"INVESTIGATOR II - IG" "INSPECTOR GEN" 65496
"AVIATION SECURITY OFFICER" AVIATION 73992
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 68616
"PARKING ENFORCEMENT AIDE" FINANCE 51012
"POLICE OFFICER" POLICE 72510
"PARAMEDIC I/C" FIRE 91080
"POLICE OFFICER" POLICE 87006
"CHIEF CONTRACT EXPEDITER" "GENERAL SERVICES" 69384
"DATA ENTRY OPERATOR" AVIATION 48312
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 93354
"POLICY ANALYST" TREASURER 46356
"POLICE OFFICER" POLICE 84054
"PARAMEDIC I/C" FIRE 97440
"PROPERTY CUSTODIAN - AUTO POUND" "STREETS & SAN" 38376
"POLICE COMMUNICATIONS OPERATOR I" OEMC 61464
"POLICE OFFICER" POLICE 76266
"CHIEF CONTRACT EXPEDITER" "GENERAL SERVICES" 101592
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 84054
FIREFIGHTER-EMT FIRE 84870
"POLICE OFFICER" POLICE 80016
"POLICE OFFICER" POLICE 48078
"ASST CORPORATION COUNSEL III" LAW 65928
PARAMEDIC FIRE 76266
"POLICE OFFICER" POLICE 72510
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 76266
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 76266
"POLICE OFFICER" POLICE 84054
LIEUTENANT-EMT FIRE 114324
"POLICE OFFICER" POLICE 93354
"FIRE COMMUNICATIONS OPERATOR I" OEMC 64992
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 48078
"STAFF ASSISTANT - EXCLUDED" "WATER MGMNT" 70620
PARAMEDIC FIRE 76266
"ASST COMMISSIONER" AVIATION 110076
"POLICE ADMINISTRATIVE CLERK" POLICE 40392
"DETENTION AIDE" POLICE 50412
"ADMINISTRATIVE ASST II" "ADMIN HEARNG" 60972
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 84054
"POLICE COMMUNICATIONS OPERATOR II" OEMC 57912
"LIBRARIAN I" "PUBLIC LIBRARY" 62364
"POLICE OFFICER" POLICE 76266
SERGEANT POLICE 107988
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER / FLD TRNG OFFICER" POLICE 88296
"FIRE ENGINEER" FIRE 100980
SERGEANT POLICE 111474
PARAMEDIC FIRE 76266
"PARAMEDIC I/C" FIRE 97440
"ASST GENERAL SUPT OF STREETS AND SANITATION" "STREETS & SAN" 93300
"PARAMEDIC I/C" FIRE 82614
"POLICE OFFICER" POLICE 72510
"LIBRARIAN I" "PUBLIC LIBRARY" 65448
SERGEANT POLICE 111474
"PARAMEDIC I/C" FIRE 91080
"LIBRARY CLERK" "PUBLIC LIBRARY" 53076
"ASST CORPORATION COUNSEL I" LAW 95556
"FIREFIGHTER-EMT (RECRUIT)" FIRE 72510
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 103932
"PROGRAM ANALYST" "FAMILY & SUPPORT" 72696
"POLICE OFFICER" POLICE 93354
"SANITATION CLERK" "STREETS & SAN" 60972
"FIRE ENGINEER-EMT" FIRE 107106
"MICROBIOLOGIST II" "WATER MGMNT" 75792
"POLICE OFFICER" POLICE 48078
"CLERK III" POLICE 46152
INVESTIGATOR-COPA COPA 79692
"POLICE OFFICER" POLICE 72510
CAPTAIN-EMT FIRE 132732
"POLICE OFFICER" POLICE 84054
SERGEANT POLICE 111474
"DETENTION AIDE" POLICE 64392
"POLICE OFFICER" POLICE 76266
"POLICE OFFICER" POLICE 48078
"CERTIFICATION - COMPLIANCE OFFICER" PROCUREMENT 60312
"POLICE OFFICER" POLICE 48078
SERGEANT POLICE 107988
"POLICE OFFICER" POLICE 48078
"AVIATION SECURITY OFFICER" AVIATION 73992
"POLICE COMMUNICATIONS OPERATOR I" OEMC 50412
"SPONSORSHIP COORDINATOR" "FAMILY & SUPPORT" 62820
"COMMISSIONER OF FLEET & FACILITY MANAGEMENT" "GENERAL SERVICES" 163896
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 100980
"ASST CORPORATION COUNSEL II" LAW 62940
"POLICE OFFICER" POLICE 48078
"POLICE COMMUNICATIONS OPERATOR I" OEMC 67464
"POLICE OFFICER" POLICE 87006
FIREFIGHTER-EMT FIRE 84870
"POLICE ADMINISTRATIVE CLERK" POLICE 40392
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 94122
"POLICE OFFICER / FLD TRNG OFFICER" POLICE 88296
"POLICE OFFICER" POLICE 48078
LIEUTENANT-EMT FIRE 117996
"POLICE OFFICER" POLICE 76266
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 96060
SERGEANT POLICE 101442
"LEAVE OF ABSENCE ADMIN" "PUBLIC LIBRARY" 60384
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 93354
"ANIMAL CARE AIDE II" "ANIMAL CONTRL" 45696
INVESTIGATOR-COPA COPA 92388
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 94122
PARAMEDIC FIRE 76266
"VENTILATION AND FURNACE INSPECTOR" BUILDINGS 96657.6
"POLICE OFFICER" POLICE 48078
LIEUTENANT FIRE 111252
"PARKING ENFORCEMENT AIDE" FINANCE 56004
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 72510
"POLICE OFFICER" POLICE 93354
"ASST CORPORATION COUNSEL SUPVSR" LAW 100092
"ASST GENERAL SUPT OF STREETS AND SANITATION" "STREETS & SAN" 117660
"POLICE OFFICER" POLICE 48078
INVESTIGATOR "CITY COUNCIL" 44028
"PARAMEDIC I/C" FIRE 82614
"FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC" FIRE 105804
"ADMINISTRATIVE SERVICES OFFICER I" FINANCE 50676
"AVIATION SECURITY OFFICER" AVIATION 55260
"LIBRARIAN I" "PUBLIC LIBRARY" 52320
"POLICE OFFICER" POLICE 80016
"PARAMEDIC I/C" FIRE 82614
"ASST CORPORATION COUNSEL III" LAW 100092
"POLICE OFFICER" POLICE 87006
"PARAMEDIC I/C" FIRE 82614
"POLICE OFFICER" POLICE 76266
"GRAPHIC ARTIST III" "PUBLIC LIBRARY" 76932
SERGEANT POLICE 104628
"POLICE OFFICER" POLICE 48078
"ADMINISTRATIVE ASST II" "ADMIN HEARNG" 66948
"POLICE OFFICER" POLICE 93354
"POLICE COMMUNICATIONS OPERATOR I" OEMC 73992
"POLICE COMMUNICATIONS OPERATOR II" OEMC 67464
"POLICE OFFICER" POLICE 93354
"FIELD SERVICE SPECIALIST II" TRANSPORTN 88308
"POLICE OFFICER" POLICE 76266
"ASST CORPORATION COUNSEL SUPVSR" LAW 104844
PARAMEDIC FIRE 56304
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 72510
"GRAPHIC ARTIST III" "GENERAL SERVICES" 73440
"IT DIRECTOR (DoIT)" DoIT 112284
"POLICE COMMUNICATIONS OPERATOR II" OEMC 85056
PARAMEDIC FIRE 56304
"WATER CHEMIST II" "WATER MGMNT" 59436
"POLICE OFFICER" POLICE 48078
FIREFIGHTER-EMT FIRE 84870
"ADMINISTRATIVE ASST III - EXCLUDED" "INSPECTOR GEN" 45408
"FIREFIGHTER-EMT (RECRUIT)" FIRE 68616
PARAMEDIC FIRE 56304
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 84054
SERGEANT POLICE 111474
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 48078
FIREFIGHTER-EMT FIRE 89148
PARAMEDIC FIRE 56304
PARAMEDIC FIRE 56304
"POLICE OFFICER" POLICE 87006
"ASST GENERAL SUPT OF STREETS AND SANITATION" "STREETS & SAN" 97740
"ASST CORPORATION COUNSEL III" LAW 65928
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 72510
"POLICE ADMINISTRATIVE CLERK" POLICE 40392
"POLICE OFFICER" POLICE 72510
"SUPERVISING TRAFFIC CONTROL AIDE" OEMC 61464
"POLICE OFFICER" POLICE 84054
"POLICE COMMUNICATIONS OPERATOR I" OEMC 50412
"POLICE OFFICER" POLICE 76266
"POLICE COMMUNICATIONS OPERATOR II" OEMC 70644
"POLICE COMMUNICATIONS OPERATOR I" OEMC 61464
"POLICE OFFICER / FLD TRNG OFFICER" POLICE 91338
"POLICE COMMUNICATIONS OPERATOR II" OEMC 60648
"SENIOR BUDGET ANALYST" "BUDGET & MGMT" 65496
"POLICE OFFICER / FLD TRNG OFFICER" POLICE 88296
"POLICE OFFICER" POLICE 84054
"CERTIFICATION - COMPLIANCE OFFICER" PROCUREMENT 75792
"POLICE OFFICER/EXPLSV DETECT K9 HNDLR" POLICE 91338
"POLICE OFFICER" POLICE 90024
"ANIMAL CARE AIDE II" "ANIMAL CONTRL" 54984
"REFUSE COLLECTION COORD" "STREETS & SAN" 76896
"SUPERVISING PHOTOGRAPHIC TECHNICIAN" "GENERAL SERVICES" 73944
"POLICE ADMINISTRATIVE CLERK" POLICE 40392
PARAMEDIC FIRE 84054
"FIREFIGHTER-EMT (RECRUIT)" FIRE 72510
FIREFIGHTER-EMT FIRE 95484
"FIREFIGHTER-EMT (RECRUIT)" FIRE 72510
"FIRE ENGINEER-PARAMEDIC" FIRE 109656
"FIRE ENGINEER-EMT" FIRE 107106
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 76266
"PARKING ENFORCEMENT AIDE" FINANCE 51012
"POLICE OFFICER" POLICE 72510
"BUILDING/CONSTRUCTION INSPECTOR" BUILDINGS 106416
"CHIEF OPERATING ENGINEER" "WATER MGMNT" 118414.44
"POLICE OFFICER" POLICE 72510
"POLICE OFFICER" POLICE 93354
"AVIATION SECURITY OFFICER" AVIATION 73992
"CERTIFIED MEDICAL ASST" HEALTH 60972
"AUDITOR I" FINANCE 57648
"TRAFFIC CONTROL AIDE" OEMC 39924
"POLICE OFFICER" POLICE 80016
"CONTRACTS COORD" TRANSPORTN 68220
"PARAMEDIC I/C" FIRE 82614
"POLICE OFFICER" POLICE 76266
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 93354
"LIBRARIAN IV" "PUBLIC LIBRARY" 70092
FIREFIGHTER-EMT FIRE 95484
"HATE CRIME VICTIM ADVOCATE" "HUMAN RELATIONS" 89076
SERGEANT POLICE 104628
"POLICE OFFICER" POLICE 90024
"POLICE OFFICER" POLICE 76266
"CRIMINAL HISTORY ANALYST" "BUSINESS AFFAIRS" 60384
"PROJECT MANAGER" "CITY CLERK" 80880
"POLICE OFFICER" POLICE 80016
"POLICE OFFICER" POLICE 96060
FIREFIGHTER-EMT FIRE 80868
"ASST CITY TREASURER" TREASURER 124056
"SENIOR DATA ENTRY OPERATOR" "FAMILY & SUPPORT" 53076
"YOUTH SERVICES COORD" POLICE 97056
"POLICE OFFICER" POLICE 84054
"ASST CORPORATION COUNSEL SUPVSR" LAW 95556
FIREFIGHTER-EMT FIRE 84870
"SUPVSR OF PERSONNEL SERVICES" "INSPECTOR GEN" 89076
"PARKING ENFORCEMENT AIDE" FINANCE 56004
SERGEANT POLICE 104628
"POLICE OFFICER" POLICE 76266
"POLICE OFFICER" POLICE 48078
"POLICE ADMINISTRATIVE CLERK" POLICE 40392
"FIREFIGHTER-EMT (RECRUIT)" FIRE 68616
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 100980
PARAMEDIC FIRE 56304
"POLICE COMMUNICATIONS OPERATOR I" OEMC 50412
"POLICE OFFICER" POLICE 96060
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 91080
"POLICE OFFICER" POLICE 84054
"LIBRARY CLERK" "PUBLIC LIBRARY" 44088
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 96060
"HEAD LIBRARY CLERK" "PUBLIC LIBRARY" 58248
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 94122
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 97440
"POLICE OFFICER" POLICE 87006
"FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC" FIRE 105804
"POLICE COMMUNICATIONS OPERATOR II" OEMC 67464
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 97440
"POLICE OFFICER" POLICE 90024
"LIBRARY CLERK" "PUBLIC LIBRARY" 30588
"POLICE OFFICER" POLICE 72510
"POLICE OFFICER" POLICE 76266
"STAFF ASST TO THE ALDERMAN" "CITY COUNCIL" 29004
"POLICE COMMUNICATIONS OPERATOR I" OEMC 61464
"POLICE OFFICER" POLICE 90024
"MANAGER OF CERTIFICATION / COMPLIANCE" PROCUREMENT 90216
"ASST CORPORATION COUNSEL II" LAW 62940
"ASST CORPORATION COUNSEL SUPVSR" LAW 91224
"ADMINISTRATIVE ASST II" AVIATION 63876
PARAMEDIC FIRE 56304
"FIREFIGHTER-EMT (RECRUIT)" FIRE 68616
"LIBRARIAN I" "PUBLIC LIBRARY" 53940
PARAMEDIC FIRE 76266
"ASST CORPORATION COUNSEL SUPVSR" LAW 95556
"POLICE OFFICER" POLICE 76266
"POLICE COMMUNICATIONS OPERATOR I" OEMC 70644
"DETENTION AIDE" POLICE 73992
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 72510
"DETENTION AIDE" POLICE 56004
"POLICE ADMINISTRATIVE CLERK" POLICE 40392
"ASST CORPORATION COUNSEL I" LAW 60084
"SENIOR DATA ENTRY OPERATOR" POLICE 55536
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 96060
LIEUTENANT-EMT FIRE 121818
"AIRPORT OPERATIONS SUPVSR II" AVIATION 101544
"POLICE OFFICER" POLICE 72510
"POLICE OFFICER" POLICE 72510
"POLICE OFFICER" POLICE 80016
"POLICE OFFICER" POLICE 48078
"ADMINISTRATIVE SERVICES OFFICER II" POLICE 79740
"PARAMEDIC I/C" FIRE 82614
"FIREFIGHTER-EMT (RECRUIT)" FIRE 68616
SERGEANT POLICE 111474
"SR CERTIFICATION / COMPLIANCE OFFICER" PROCUREMENT 73440
"LIBRARIAN I" "PUBLIC LIBRARY" 65448
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 97440
"DETENTION AIDE" POLICE 64392
"SENIOR CLERK-ELECTIONS" "BOARD OF ELECTION" 38472
"POLICE OFFICER" POLICE 76266
"POLICE OFFICER" POLICE 72510
"POLICE OFFICER" POLICE 48078
"FIREFIGHTER-EMT (RECRUIT)" FIRE 72510
"POLICE OFFICER / FLD TRNG OFFICER" POLICE 91338
"LEGISLATIVE AIDE" "CITY COUNCIL" 25980
"POLICE OFFICER" POLICE 72510
PARAMEDIC FIRE 56304
"POLICE OFFICER" POLICE 76266
"REPROGRAPHICS TECHNICIAN I/C" "CITY CLERK" 80568
"COMMUNICABLE DISEASE CONTROL INVESTIGATOR II" HEALTH 70092
"FIREFIGHTER-EMT (RECRUIT)" FIRE 68616
"DETENTION AIDE" POLICE 64392
"POLICE OFFICER" POLICE 72510
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 80016
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 94122
"PERSONNEL ASSISTANT" POLICE 63876
"POLICE OFFICER" POLICE 76266
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 86748
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 76266
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 97440
"POLICE COMMUNICATIONS OPERATOR II" OEMC 57912
"FIREFIGHTER-EMT (RECRUIT)" FIRE 68616
LIEUTENANT-EMT FIRE 114324
"AVIATION SECURITY OFFICER" AVIATION 64392
"POLICE OFFICER" POLICE 48078
"LIBRARIAN III" "PUBLIC LIBRARY" 68796
FIREFIGHTER-EMT FIRE 95484
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 91080
"AVIATION SECURITY SERGEANT" AVIATION 80916
"LIBRARIAN IV" "PUBLIC LIBRARY" 95580
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 97440
SERGEANT POLICE 101442
"ASST CORPORATION COUNSEL SUPVSR" LAW 100092
SERGEANT POLICE 111474
FIREFIGHTER-EMT FIRE 95484
"POLICE OFFICER / FLD TRNG OFFICER" POLICE 88296
"POLICE OFFICER" POLICE 96060
"POLICE OFFICER" POLICE 76266
"POLICE OFFICER" POLICE 76266
"POLICE OFFICER" POLICE 76266
FIREFIGHTER/PARAMEDIC FIRE 86892
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 94122
"POLICE OFFICER" POLICE 96060
"ASST CORPORATION COUNSEL SUPVSR" LAW 95556
FIREFIGHTER-EMT FIRE 84870
"CENTRAL VOUCHER COORDINATOR" FINANCE 38376
"FIELD SERVICE SPECIALIST II" TRANSPORTN 70056
"POLICE COMMUNICATIONS OPERATOR II" OEMC 85056
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 94122
PARAMEDIC FIRE 76266
"POLICE OFFICER / FLD TRNG OFFICER" POLICE 88296
"POLICE OFFICER" POLICE 76266
"POLICE OFFICER" POLICE 48078
"ASST CORPORATION COUNSEL II" LAW 83136
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 97440
PARAMEDIC FIRE 76266
"AVIATION SECURITY OFFICER" AVIATION 61464
"ADMINISTRATIVE ASST II" AVIATION 50124
LIEUTENANT-EMT FIRE 117996
LIEUTENANT-EMT FIRE 117996
"POLICE OFFICER" POLICE 76266
"AVIATION SECURITY OFFICER" AVIATION 70644
"POLICE OFFICER" POLICE 48078
"POLICE COMMUNICATIONS OPERATOR II" OEMC 77520
"REFUSE COLLECTION COORD" "STREETS & SAN" 88308
"AVIATION SECURITY OFFICER" AVIATION 70644
"PARKING ENFORCEMENT AIDE" FINANCE 51012
"POLICE OFFICER" POLICE 90024
PARAMEDIC FIRE 56304
"POLICE COMMUNICATIONS OPERATOR I" OEMC 70644
SERGEANT POLICE 104628
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 97440
"SUPVSR OF COST CONTROL" "WATER MGMNT" 84420
"POLICE COMMUNICATIONS OPERATOR I" OEMC 77520
"POLICE COMMUNICATIONS OPERATOR II" OEMC 81156
"POLICE OFFICER" POLICE 72510
"POLICE OFFICER" POLICE 76266
PARAMEDIC FIRE 56304
"POLICE OFFICER" POLICE 90024
"PROPERTY CUSTODIAN - AUTO POUND" "STREETS & SAN" 60972
"BUILDING/CONSTRUCTION INSPECTOR" BUILDINGS 83544
"EXEC ADMINISTRATIVE ASST I" FINANCE 52176
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 76266
"POLICE OFFICER" POLICE 72510
"POLICE OFFICER" POLICE 90024
"PARKING ENFORCEMENT AIDE" FINANCE 39924
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 97440
"POLICE OFFICER" POLICE 87006
"POLICE OFFICER" POLICE 93354
PARAMEDIC FIRE 56304
"POLICE OFFICER" POLICE 84054
"DETENTION AIDE" POLICE 56004
INVESTIGATOR "GENERAL SERVICES" 73944
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 48078
"BATTALION CHIEF - EMT" FIRE 149502
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 84054
"POLICE OFFICER" POLICE 72510
"SUPERVISING TRAFFIC CONTROL AIDE" OEMC 61464
"POLICE OFFICER" POLICE 48078
"SUPERVISING TRAFFIC CONTROL AIDE" OEMC 45924
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 68616
"POLICE OFFICER / FLD TRNG OFFICER" POLICE 88296
"POLICE OFFICER" POLICE 93354
"DETENTION AIDE" POLICE 61464
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 80016
FIREFIGHTER FIRE 87006
"POLICE OFFICER" POLICE 93354
"CHIEF CONTRACT EXPEDITER" "GENERAL SERVICES" 101592
"SUPERVISING TRAFFIC CONTROL AIDE" OEMC 73992
"AIRPORT OPERATIONS SUPVSR I" AVIATION 88308
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 94122
PARAMEDIC FIRE 76266
"COORD OF SPECIAL PROJECTS" AVIATION 69924
SERGEANT POLICE 107988
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 76266
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)" POLICE 94524
"POLICE OFFICER" POLICE 72510
"ADMINISTRATIVE ASST II" AVIATION 55536
"TRAFFIC CONTROL AIDE" OEMC 64392
"POLICE OFFICER" POLICE 76266
"POLICE OFFICER" POLICE 48078
"SR PROCUREMENT SPECIALIST" PROCUREMENT 89076
"ASST TO THE ALDERMAN" "CITY COUNCIL" 66480
"POLICE COMMUNICATIONS OPERATOR I" OEMC 85056
"POLICE OFFICER" POLICE 84054
"POLICE COMMUNICATIONS OPERATOR I" OEMC 50412
"POLICE OFFICER" POLICE 48078
"COMMUNICABLE DISEASE CONTROL INVESTIGATOR II" HEALTH 55968
"POLICE OFFICER" POLICE 93354
"ADMINISTRATIVE ASST III" AVIATION 57660
"DIVISION MANAGER - BD OF ELECTIONS" "BOARD OF ELECTION" 99816
"POLICE OFFICER" POLICE 84054
PARAMEDIC FIRE 56304
"DETENTION AIDE" POLICE 77520
SERGEANT POLICE 101442
"HUMAN SERVICE SPECIALIST II" "FAMILY & SUPPORT" 84420
"SUPERVISING TRAFFIC CONTROL AIDE" OEMC 58644
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER" POLICE 93354
"POLICE OFFICER" POLICE 48078
"POLICE OFFICER (ASSIGNED AS DETECTIVE)" POLICE 91080
"POLICE OFFICER" POLICE 84054
"POLICE COMMUNICATIONS OPERATOR II" OEMC 85056
"POLICE OFFICER" POLICE 84054
"FIREFIGHTER-EMT (RECRUIT)" FIRE 68616
"WARD SUPERINTENDENT" "STREETS & SAN" 88188
"POLICE OFFICER" POLICE 84054
FIREFIGHTER-EMT FIRE 84870
"AVIATION SECURITY OFFICER" AVIATION 70644
FIREFIGHTER/PARAMEDIC FIRE 82812
LIEUTENANT-EMT FIRE 114324
